Wavelength,Amber 595-600nm,Blue 460-470nm,"Cool White 10,000-15,000K",Cyan 490nm,Deep Red 660nm,Far Red 730nm,Full Spectrum 380-840nm,Green 520-525nm,Infrared 850nm,Infrared 940nm,Natural White 4000 - 4500K,Orange 600-605nm,Red 620-625nm,Royal Blue 440nm,UV 365nm,UV 370nm,UV 375nm,UV 380nm,UV 385nm,UV 395nm,UV 400nm,UV 405nm,UV 410nm,UV 425nm,Warm White 3000 - 3500K,White 6000 - 6500K,Yellow 590-595nm
198,0,0.0015,0.0021,0.0031,0.0029,0.0025,0.0022,0.0027,0.0003,0.0003,0.0022,-0.0015,0.0027,-0.0014,-0.0001,-0.0005,0.0022,0.001,0.0018,0.0003,0.0006,-0.0026,0.0021,0.0022,0.0003,0.0035,0.0023
198,-0.0009,-0.0003,-0.0018,-0.0021,0.0002,-0.0017,-0.0018,-0.0009,0.0024,-0.0021,0,0.0005,-0.0024,-0.0007,-0.0006,-0.0011,-0.001,-0.0012,0.0005,-0.0004,0.0007,0.0007,-0.0004,0.0027,0.0006,0.0019,0.0003
198,0.0027,0.0007,0.002,-0.0007,0.0018,0.0001,0.0028,0.0009,0.0013,0.001,0.0037,0.0026,0.0014,-0.0008,0.0004,0.0014,-0.0011,0.0031,0.0008,0.0003,0.0012,0,-0.0015,0.0011,-0.0006,0.0004,0.0004
199,-0.0008,0.0005,0,0.0006,-0.0009,0.0013,0.001,-0.0011,-0.0008,-0.0007,0.0016,-0.0004,-0.0006,-0.0009,-0.0001,-0.0001,-0.0021,0.0004,-0.0001,-0.0034,0,-0.0028,-0.0028,-0.0007,0.0003,0.0008,0.0006
199,0.0007,-0.0008,0.0023,0.0006,0.0027,0.004,0.0012,0.0013,0.001,0.0009,0.0009,0.0008,0.0006,-0.0008,-0.001,-0.0003,0.0013,0,-0.0005,0.0026,-0.0004,0.0008,-0.0004,0.0007,0.0009,-0.0003,0.0024
199,0.0014,-0.0001,0.0014,-0.0027,-0.0008,0.0009,0.0008,-0.0008,-0.0009,-0.0018,0.0007,0.0011,0.0004,0.0009,-0.0013,0.0017,0.0008,-0.0013,0.0005,0,0.0005,-0.0031,-0.0002,-0.0006,-0.0011,0.0038,0.0018
199,-0.0001,0.0039,0.0022,0.0023,0.0022,0.001,0.0011,0.0016,-0.0022,0.0016,0.0005,0.0028,0.0023,-0.0001,0.001,0.0014,-0.0005,0.0006,0.0008,0.0015,0.0007,-0.0007,0.0005,0.0018,0.0022,0.0026,0.0024
199,-0.0023,0.0001,-0.0002,0.0001,-0.0007,-0.0006,0.0004,0.0029,-0.0004,-0.0013,0.0012,-0.0001,0.0005,0.0003,-0.0016,0.0007,0.0015,-0.0009,-0.0023,-0.0015,-0.0006,0.0002,0.0024,-0.0035,0.0002,-0.0002,0.0014
200,0.0001,0,0.0057,0.0024,0.0024,0.0012,-0.0004,0.001,-0.0024,0.0013,0.0008,0.001,-0.001,0.0009,-0.0002,0.002,-0.0008,-0.0003,0.0029,-0.0001,0.0031,0.001,-0.0013,0.002,0.0038,0.0019,0.0018
200,-0.0036,0.0003,-0.0001,0.0014,-0.0007,0.0012,0.0028,0.0012,0.001,-0.0005,0,-0.0005,-0.0013,-0.0006,-0.0002,-0.0006,-0.0042,0.0031,-0.0016,-0.0005,-0.0006,-0.0022,-0.0021,-0.0005,-0.0012,-0.0015,0.0004
200,-0.0013,-0.0003,0.001,0.0016,0.0009,0.0025,0.0013,0.0032,0.0015,-0.0007,0.0004,0.0028,0.0024,0.0003,0.0024,0.0002,0.0001,0.0008,0.0021,-0.0021,0.0023,0.0026,0.0003,-0.0002,0.0009,0.0017,-0.0006
200,-0.0019,-0.0008,0.0006,0.0011,-0.0013,0,0.0013,0.0004,-0.0013,-0.0001,-0.0016,-0.0005,-0.0003,0.0001,-0.0017,-0.0009,-0.0007,0.0005,0.0006,-0.0017,-0.0017,-0.001,0,-0.0015,-0.0028,0.0014,-0.0002
200,0.0037,0.0007,0,0.0014,0.0008,0.0004,0.0016,0,-0.0003,0.0012,0.0002,0.0027,0.0032,-0.0002,0.001,-0.0006,0,-0.0004,0.0025,0.0007,0.0025,-0.0014,0.0036,0.0023,0.0024,0.0023,0.0023
201,0.0004,0.0003,-0.0002,-0.0024,0.002,-0.0004,-0.0009,0.0002,0.0001,-0.0001,0.0012,-0.0001,0.0006,0.0009,0.002,-0.0001,-0.0014,-0.0018,-0.0011,-0.0032,0.0001,-0.0005,-0.0009,0.001,-0.0022,0.0013,-0.0017
201,-0.0001,0.0009,-0.0012,0.0007,-0.0013,0.0031,0.001,0.0005,0.0011,0.0009,0.0015,0.0005,0.0019,0.0002,-0.0015,0.0016,-0.002,-0.0027,0.0018,-0.0002,-0.0001,-0.0006,0.0003,-0.0027,0.001,0.0026,0.0011
201,-0.0005,0.0016,0.0006,0.0004,0.0004,0.0017,-0.001,0.0006,0.001,-0.0009,0.0024,0.0002,-0.0019,0.0007,-0.0018,-0.0026,0.0014,0.0015,0.0002,-0.0012,0.0004,-0.0009,-0.0007,0.0003,0.0017,0.0011,-0.0013
201,0.0009,0.0005,0.0003,0.0013,0.0011,-0.0005,0.0027,-0.0001,0.0016,0.0016,-0.0009,0.0005,0.002,0.0002,0.0009,-0.0001,0.0021,0.0028,0.0005,0.001,0.0002,0.002,0.0005,0.0006,0.0012,0.0025,0.003
201,0.0006,-0.0009,0.0007,0.0017,-0.0029,0.001,0.0001,0.0015,-0.0009,0.0009,-0.0012,0.0014,0.0015,-0.001,0.0022,0.001,-0.0011,0.0011,0.0014,-0.0016,0.001,-0.0001,0,-0.0001,0.001,0.0013,-0.0004
202,-0.0013,0.0008,0.0019,0.0008,0.0017,0.0018,0.0002,0.0025,0.0013,0.0023,-0.0014,-0.0001,0.0017,-0.0014,0.001,0.0006,-0.0003,0.0013,0.0012,0.0001,0.0015,0.0005,0.0017,-0.0019,0.0026,0.0012,0.0029
202,-0.0009,-0.0009,0.0006,0.0003,0.0007,0,-0.0006,-0.0021,0,0.001,0.0004,0.0001,0.0008,0,0.0002,-0.0001,0.0018,0.0006,-0.0011,0.0002,-0.0005,0.0004,-0.0021,-0.0006,-0.0021,-0.0004,-0.0003
202,-0.0006,0.0025,0.0022,0.0032,0.0033,0.002,0.0025,-0.0011,-0.0016,-0.0009,0.0008,0.0041,-0.0008,0.0017,0.0011,0.0013,0.0026,0.0008,0.0001,-0.0004,0.0026,-0.001,0.0022,0.0015,0.0011,-0.0001,0.0011
202,-0.0006,0.0011,0.0024,0.0014,0.0012,0.0008,-0.0006,0.0013,0.0001,0.0001,0.0015,0.0019,-0.0011,-0.0022,-0.0014,0.001,0.0025,-0.0002,0.0007,0.0001,0.002,-0.0002,-0.0012,0.0004,-0.0019,0.0005,-0.0001
