Wavelength,Tungsten Bulb Raw,Tungsten Bulb Covered
198,0.0048,0.0060
198,0.0041,0.0013
198,0.0034,0.0033
199,0.0023,0.0031
199,0.0048,0.0009
199,0.0017,0.0023
199,0.0044,0.0048
199,0.0046,0.0050
200,0.0050,0.0033
200,0.0033,0.0014
200,0.0055,0.0038
200,0.0020,0.0044
200,0.0051,0.0031
201,0.0042,0.0027
201,0.0025,0.0041
201,0.0052,0.0028
201,0.0032,-0.0001
201,0.0025,0.0048
202,0.0010,0.0043
202,0.0021,0.0004
202,0.0048,0.0008
202,0.0044,0.0023
202,0.0043,0.0041
203,0.0032,0.0031
203,0.0086,0.0080
203,0.0053,0.0040
203,0.0045,0.0047
203,0.0011,0.0021
204,0.0047,0.0018
204,0.0005,0.0026
204,0.0041,0.0043
204,-0.0002,0.0011
204,0.0052,0.0029
205,0.0046,0.0098
205,0.0043,0.0030
205,0.0041,0.0045
205,0.0026,0.0010
205,0.0025,0.0012
206,0.0040,0.0049
206,0.0005,0.0011
206,0.0048,0.0028
206,0.0030,0.0038
206,0.0071,0.0104
207,0.0034,0.0057
207,0.0074,0.0076
207,0.0056,0.0035
207,0.0061,0.0073
207,0.0032,0.0008
208,0.0027,0.0062
208,0.0055,0.0025
208,0.0066,0.0062
208,0.0027,0.0009
208,0.0026,0.0051
209,0.0029,0.0042
209,0.0049,0.0009
209,0.0030,0.0012
209,0.0023,0.0051
210,0.0025,0.0049
210,0.0041,0.0028
210,0.0039,0.0031
210,0.0015,0.0052
210,0.0027,0.0029
211,0.0049,0.0033
211,0.0040,0.0033
211,0.0044,0.0034
211,0.0053,0.0089
211,0.0064,0.0044
212,0.0049,0.0028
212,0.0019,0.0029
212,0.0042,0.0044
212,0.0052,0.0030
212,0.0017,-0.0003
213,0.0076,0.0126
213,0.0019,0.0020
213,0.0070,0.0069
213,0.0032,0.0048
213,0.0054,0.0062
214,0.0006,0.0009
214,0.0027,0.0041
214,0.0041,0.0022
214,0.0037,0.0018
214,0.0017,0.0029
215,0.0053,0.0021
215,0.0043,0.0036
