Wavelength,Daylight Window,Daylight Direct
198.0,0.0042,0.0036
198.2,0.0013,0.0013
198.4,0.0022,0.0066
198.6,0.0012,0.0056
198.8,0.0031,0.0052
199.0,0.0002,0.0046
199.2,0.0025,0.0043
199.4,0.0008,0.0020
199.6,0.0032,0.0031
199.8,-0.0005,0.0035
200.0,0.0031,0.0064
200.2,0.0007,0.0030
200.4,0.0035,0.0040
200.6,0.0007,0.0029
200.8,0.0022,0.0030
201.0,0.0007,0.0032
201.2,0.0034,0.0052
201.4,0.0016,0.0034
201.6,0.0034,0.0038
201.8,0.0010,0.0023
202.0,0.0029,0.0041
202.2,0.0002,0.0008
202.4,0.0044,0.0049
202.6,0.0009,0.0016
202.8,0.0022,0.0045
203.0,0.0018,0.0050
203.2,0.0022,0.0026
203.4,-0.0004,0.0042
203.6,0.0026,0.0065
203.8,0.0003,0.0045
204.0,0.0049,0.0026
204.2,0.0004,0.0036
204.4,-0.0003,0.0029
204.6,0.0036,0.0029
204.8,0.0015,0.0056
205.0,0.0006,0.0009
205.3,0.0019,0.0061
205.5,0.0038,0.0055
205.7,0.0024,0.0048
205.9,-0.0010,0.0044
206.1,0.0019,0.0043
206.3,-0.0012,0.0045
206.5,0.0034,0.0043
206.7,0.0016,0.0045
206.9,0.0018,0.0043
207.1,-0.0006,0.0033
207.3,0.0016,0.0021
207.5,0.0010,0.0027
207.7,0.0047,0.0072
207.9,-0.0005,0.0028
208.1,0.0013,0.0042
208.3,0.0024,0.0030
208.5,0.0016,0.0059
208.7,0.0009,0.0020
208.9,0.0011,0.0057
209.1,0.0006,0.0020
209.3,0.0027,0.0061
209.5,0.0023,0.0042
209.7,0.0022,0.0044
209.9,0.0014,0.0024
210.1,0.0000,0.0038
210.3,0.0012,0.0024
210.5,0.0048,0.0034
210.7,0.0019,0.0037
210.9,0.0032,0.0036
211.1,0.0020,0.0031
211.3,0.0012,0.0047
211.5,0.0000,0.0036
211.7,0.0007,0.0035
211.9,0.0031,0.0030
212.2,0.0013,0.0020
212.4,0.0019,0.0058
212.6,0.0012,0.0053
212.8,0.0004,0.0048
213.0,0.0012,0.0042
213.2,0.0026,0.0037
213.4,0.0038,0.0044
213.6,0.0019,0.0022
213.8,0.0016,0.0071
214.0,0.0018,0.0021
214.2,0.0006,0.0053
214.4,0.0018,0.0049
214.6,0.0031,0.0053
214.8,0.0010,0.0048
215.0,0.0030,0.0046
215.2,-0.0005,0.0031
215.4,0.0027,0.0059
215.6,0.0009,0.0030
215.8,0.0012,0.0034
216.0,0.0018,0.0045
216.2,0.0017,0.0029
216.4,0.0001,0.0061
216.6,0.0044,0.0028
216.8,0.0015,0.0026
217.0,0.0026,0.0023
217.2,0.0001,0.0039
217.4,0.0031,0.0026
217.6,0.0004,0.0014
217.9,0.0035,0.0058
218.1,0.0003,0.0043
218.3,0.0013,0.0026
218.5,0.0014,0.0037
218.7,0.0028,0.0060
218.9,0.0026,0.0042
219.1,0.0009,0.0027
219.3,-0.0012,0.0042
219.5,0.0007,0.0037
219.7,-0.0012,0.0026
219.9,0.0015,0.0058
220.1,0.0019,0.0037
